Name,HSP No.,E-value,Perc ID,Score,Organism,Coge Feature ID
AT1G05680.mRNA1,49,1.00E-25,35.9,112,Arabidopsis thaliana Col-0 (thale cress),660792200
AT2G43840.mRNA2,50,3.00E-25,31.1,111,Arabidopsis thaliana Col-0 (thale cress),660872723
AT5G59590.1,51,9.00E-25,31.7,110,Arabidopsis thaliana Col-0 (thale cress),660989022
AT3G46680.mRNA1,52,5.00E-25,31.7,110,Arabidopsis thaliana Col-0 (thale cress),660904587
AT3G46650.1,53,7.00E-25,24,110,Arabidopsis thaliana Col-0 (thale cress),660904555
AT3G46690.1,54,8.00E-25,30.2,110,Arabidopsis thaliana Col-0 (thale cress),660904590
AT1G10400.1,55,8.00E-25,34.5,110,Arabidopsis thaliana Col-0 (thale cress),660795850
AT1G06000.mRNA1,56,1.00E-24,28.5,110,Arabidopsis thaliana Col-0 (thale cress),660792465
AT5G59580.mRNA1,57,2.00E-24,30.4,109,Arabidopsis thaliana Col-0 (thale cress),660989019
AT4G15500.mRNA1,58,1.00E-24,25.2,109,Arabidopsis thaliana Col-0 (thale cress),660930029
AT3G46670.mRNA1,59,2.00E-24,32.7,109,Arabidopsis thaliana Col-0 (thale cress),660904582
AT5G17040.1,60,4.00E-24,31.9,108,Arabidopsis thaliana Col-0 (thale cress),660959734
AT2G36970.mRNA1,61,4.00E-24,31.4,108,Arabidopsis thaliana Col-0 (thale cress),660867510
AT4G15260.1,62,2.00E-24,31.2,108,Arabidopsis thaliana Col-0 (thale cress),660929853
AT1G01390.1,63,2.00E-24,27.4,108,Arabidopsis thaliana Col-0 (thale cress),660789083
AT1G05530.mRNA1,64,2.00E-24,24.4,108,Arabidopsis thaliana Col-0 (thale cress),660792061
AT5G05890.mRNA1,65,1.00E-23,32.2,107,Arabidopsis thaliana Col-0 (thale cress),660952205
AT4G15490.1,66,6.00E-24,25.9,107,Arabidopsis thaliana Col-0 (thale cress),660930022
AT5G17030.mRNA1,67,1.00E-23,31.4,106,Arabidopsis thaliana Col-0 (thale cress),660959731
AT4G15280.1,68,3.00E-23,29.7,105,Arabidopsis thaliana Col-0 (thale cress),660929863
AT3G46660.1,69,2.00E-23,30.9,105,Arabidopsis thaliana Col-0 (thale cress),660904565
AT3G46720.1,70,3.00E-23,23,105,Arabidopsis thaliana Col-0 (thale cress),660904605
AT3G46700.1,71,4.00E-23,23.8,105,Arabidopsis thaliana Col-0 (thale cress),660904595
AT1G22340.1,72,2.00E-23,30.1,105,Arabidopsis thaliana Col-0 (thale cress),660804710
AT3G21780.mRNA1,73,8.00E-23,24.3,104,Arabidopsis thaliana Col-0 (thale cress),660891460
AT5G38010.mRNA1,74,1.00E-22,27.5,103,Arabidopsis thaliana Col-0 (thale cress),660973229
AT5G05860.mRNA1,75,1.00E-22,31.7,103,Arabidopsis thaliana Col-0 (thale cress),660952190
AT5G05870.mRNA1,76,1.00E-22,30.3,103,Arabidopsis thaliana Col-0 (thale cress),660952195
AT2G43820.1,77,1.00E-22,30.8,103,Arabidopsis thaliana Col-0 (thale cress),660872706
AT1G07260.mRNA1,78,9.00E-23,32,103,Arabidopsis thaliana Col-0 (thale cress),660793382
AT5G38040.mRNA1,79,3.00E-22,28.2,102,Arabidopsis thaliana Col-0 (thale cress),660973254
AT2G29740.mRNA1,80,3.00E-22,34.9,102,Arabidopsis thaliana Col-0 (thale cress),660861990
AT2G29750.1,81,8.00E-22,31.4,100,Arabidopsis thaliana Col-0 (thale cress),660861993
AT2G31750.1,82,1.00E-21,31.9,100,Arabidopsis thaliana Col-0 (thale cress),660863468
AT4G15550.mRNA1,83,8.00E-22,31.6,100,Arabidopsis thaliana Col-0 (thale cress),660930092
AT3G21800.1,84,8.00E-22,30,100,Arabidopsis thaliana Col-0 (thale cress),660891478
AT3G21750.1,85,4.00E-21,29,99,Arabidopsis thaliana Col-0 (thale cress),660891434
AT5G05900.1,86,5.00E-21,31.6,98.6,Arabidopsis thaliana Col-0 (thale cress),660952208
AT2G30150.1,87,6.00E-21,29.6,98.6,Arabidopsis thaliana Col-0 (thale cress),660862258
AT3G21560.1,88,5.00E-21,36.6,98.6,Arabidopsis thaliana Col-0 (thale cress),660891309
AT3G21760.1,89,8.00E-21,31.2,98.2,Arabidopsis thaliana Col-0 (thale cress),660891448
PHV_1_7903801_7903810,90,1.00E-20,31.3,97.8,Arabidopsis thaliana Col-0 (thale cress),661078264
AT2G26480.mRNA1,91,2.00E-20,30.2,97.1,Arabidopsis thaliana Col-0 (thale cress),660859575
AT1G22380.mRNA1,92,3.00E-20,27.4,96.3,Arabidopsis thaliana Col-0 (thale cress),660804742
AT1G07240.1,93,3.00E-20,30.8,96.3,Arabidopsis thaliana Col-0 (thale cress),660793370
AT1G24100.mRNA1,94,3.00E-20,36,95.9,Arabidopsis thaliana Col-0 (thale cress),660806007
AT3G11340.mRNA1,95,5.00E-20,34.1,95.5,Arabidopsis thaliana Col-0 (thale cress),660883420
AT3G55710.1,96,6.00E-20,39.5,95.5,Arabidopsis thaliana Col-0 (thale cress),660911141
AT4G14090.mRNA1,97,8.00E-20,25.2,95.1,Arabidopsis thaliana Col-0 (thale cress),660928747
AT3G55700.1,98,7.00E-20,31,95.1,Arabidopsis thaliana Col-0 (thale cress),660911136
AT1G78270.mRNA1,99,6.00E-20,34,95.1,Arabidopsis thaliana Col-0 (thale cress),660839752
PHV_2_11961721_11961727,100,2.00E-19,33.1,93.6,Arabidopsis thaliana Col-0 (thale cress),661129362
